Country Name,Series Name,2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,GDP (current US$),4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20046334303.9661,20050189881.6659,19215562179.0117,19469022207.6852,0
Albania,GDP (current US$),5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12776277515.48,13228244357.1813,11335264966.561,11863865978.0942,0
Algeria,GDP (current US$),67863829880.4832,85324998813.604,103198228458.588,117027304746.54,134977087734.008,171000691877.714,137211039898.193,161207268655.392,200019057307.655,209058991952.125,209755003250.664,213810022462.428,165874330876.321,159049096745.249,0
American Samoa,GDP (current US$),527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,659000000,658000000,0
Andorra,GDP (current US$),2398645598.19413,2935659299.72684,3255789080.96008,3543256805.92147,4016972351.49192,4007353156.58415,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2858517699.11504,0
Angola,GDP (current US$),14188949190.618,19640848728.8937,28233712830.9035,41789478661.3096,60448921272.2326,84178032716.0971,75492384801.3695,82470913120.7314,104115923082.737,115398371427.673,124912063308.202,126776874216.703,102962245246.708,95335111741.2025,0
Antigua and Barbuda,GDP (current US$),855643099.62963,919577142.592592,1022191294.07407,1157005441.48148,1311401318.88889,1368431037.03704,1224253000,1152469074.07407,1142042925.92593,1211411703.7037,1192925407.40741,1280133333.33333,1364863037.03704,1460144703.7037,0
Arab World,GDP (current US$),823110541440.464,963862340520.581,1184661549595.13,1404113530800.68,1637573196970.62,2078115659876.48,1795819607113.11,2109645821948.41,2501553648412.73,2741238538444.31,2839626635836.57,2906616435186.9,2563301730344.96,2504702625568.63,0
Argentina,GDP (current US$),127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,584711485367.267,545476103427.247,0
Armenia,GDP (current US$),2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10572298341.5618,0
