Country Name,Series Name,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,"Adjusted net enrollment rate, primary (% of primary school age children)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Afghanistan,Adjusted net national income per capita (annual % growth),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Albania,"Adjusted net enrollment rate, primary (% of primary school age children)",0,97.3142471313477,95.8898773193359,94.3273468017578,0,91.7103118896484,91.1112899780273,0,0,0,90.2672882080078,89.3933334350586,91.0338668823242,93.2256622314453,96.137092590332,95.91259765625,95.9208908081055,0,0,0.0
Albania,Adjusted net national income per capita (annual % growth),11.0004587085314,15.6921749002297,8.38736736539624,9.98551753070163,3.178191730037,6.66955656364789,6.07517943943475,4.48168374396111,6.432783639763,5.08227150483465,6.05518780874385,-0.0630675422297742,-2.23345897780743,1.71687678510412,-0.270580166785152,2.84234118560767,0.774343444991928,3.8877436690633,0,0.0
Algeria,"Adjusted net enrollment rate, primary (% of primary school age children)",0,89.7255325317383,90.5237197875977,92.6419372558594,93.91455078125,94.4528579711914,95.2220077514648,95.5387573242188,95.7594985961914,95.9753799438477,97.3411483764648,98.8084030151367,98.6604766845703,98.7500610351563,0,0,0,98.8130264282227,0,0.0
Algeria,Adjusted net national income per capita (annual % growth),-2.35999758581585,3.62504223239083,20.430446586498,-0.419969041118691,1.76252285248373,8.43937477537023,2.99788526469915,10.0493050799874,5.24317766669611,3.05809998203902,1.85312885804979,-10.743780289954,12.523038333202,-0.0786913397979987,3.81275285958398,-1.6040129950251,-0.970847873479002,-3.93214125297277,0,0.0
American Samoa,"Adjusted net enrollment rate, primary (% of primary school age children)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
American Samoa,Adjusted net national income per capita (annual % growth),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andorra,"Adjusted net enrollment rate, primary (% of primary school age children)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Andorra,Adjusted net national income per capita (annual % growth),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Angola,"Adjusted net enrollment rate, primary (% of primary school age children)",0,0,0,0,0,0,0,0,0,0,80.1990966796875,79.6908416748047,81.3394393920898,84.0123062133789,0,0,0,0,0,0.0
Angola,Adjusted net national income per capita (annual % growth),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Antigua and Barbuda,"Adjusted net enrollment rate, primary (% of primary school age children)",0,0,0,0,0,0,0,0,0,91.8214569091797,92.8791427612305,92.3602905273438,89.4789962768555,87.5440521240234,85.9711608886719,0,85.8329391479492,90.253303527832,0,0.0
Antigua and Barbuda,Adjusted net national income per capita (annual % growth),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Arab World,"Adjusted net enrollment rate, primary (% of primary school age children)",75.1108169555664,76.2543182373047,77.2456817626953,78.8005218505859,80.051399230957,80.8053894042969,81.607063293457,82.4894866943359,82.6855087280273,83.2803421020508,84.0118713378906,84.1959609985352,85.2119979858398,85.2451400756836,86.1016693115234,85.5119400024414,85.3201522827148,0,0,0.0
Arab World,Adjusted net national income per capita (annual % growth),0,0,0,0,1.6588703218481,2.71033699999713,7.46092644873031,6.86915879866903,9.796013402859,5.27427672399745,7.42888366702161,-9.8699027888232,4.34517004438391,9.74192473421445,3.18565433158417,0.613192814540398,-1.71205879598897,-7.57317043053914,0,0.0
